run,event_number,shower_start_sf,sum_hit_density_w_sf,sum_qdc_sf,max_qdc_per_sf_plane,n_hits_sf,max_n_hits_per_sf_plane
5144,17997357,-1,342,54.130000188946724,21.149999737739563,47,15
5144,23128776,5,232,38.909999718889594,17.96000031940639,39,16
5144,25292701,5,1243,-16.19000069051981,8.609999924898148,70,43
5144,30541090,-1,254,41.80000010877848,13.019999980926514,37,10
5144,40057529,-1,183,64.5900003388524,29.54000036418438,34,9
5144,40595287,3,558,40.240000983700156,19.6400006711483,49,24
5144,46967435,-1,320,54.59000154398382,16.690000182017684,47,16
5154,6764177,-1,794,91.48999883234501,32.370000034570694,78,27
5154,7337296,3,677,67.28999988362193,58.2000000923872,56,20
5154,10856816,-1,264,82.31000056676567,32.469999738037586,40,12
5154,22375824,-1,173,44.37999965623021,16.489999782294035,35,13
5154,22700504,-1,219,68.41000035405159,33.070000141859055,40,10
5154,24732766,5,1272,63.46000070311129,61.680000403895974,59,32
5154,24843013,3,617,79.25000092759728,37.3400003220886,54,26
5154,25836256,-1,232,39.26000018790364,15.969999969005585,36,12
5154,32509336,-1,576,28.940000489354134,33.420000076293945,49,17
5154,33501072,-1,149,47.38000042364001,18.559999883174896,31,8
5154,33585863,5,944,45.39000064507127,18.530000060796738,76,38
5154,35159187,-1,194,-2.1199995055794716,14.310000091791153,32,8
5154,35678252,-1,287,28.5999993160367,8.449999615550041,37,16
5154,40435338,-1,206,33.09000012092292,14.240000069141388,30,10
5154,42071021,-1,464,45.39000056684017,22.52999985218048,56,17
5154,44747787,-1,263,19.190000222995877,12.520000219345093,28,7
5154,46520992,-1,268,56.370000844821334,27.76000052690506,34,12
5154,48194366,-1,144,23.61000021919608,8.860000014305115,30,8
5154,49518451,-1,198,66.08999920450151,30.230000145733356,32,10
5154,50347343,-1,188,50.93999954685569,23.080000165849924,35,11
5154,60299967,1,836,5.2300001587718725,16.689999848604202,55,26
5154,60708672,-1,180,34.74000070989132,21.03000020980835,36,10
5154,62379121,-1,264,59.269999980926514,22.92999993637204,43,16
5154,69979303,2,653,9.979998737573624,9.339999973773956,50,23
5154,73442362,-1,325,-0.8799993842840195,17.28999964147806,45,12
5154,78049004,-1,131,32.970000423491,12.990000069141388,29,8
5154,79653530,2,5165,171.51000138930976,128.31000092439353,98,62
5154,84450826,-1,328,32.869999289512634,15.930000007152557,44,13
5154,84455504,2,1831,-44.40000095963478,5.890000283718109,77,40
5154,85245148,-1,533,2.379999188706279,10.429999768733978,40,14
5154,87552606,-1,156,46.36999980546534,14.890000104904175,30,8
5154,94271898,-1,334,40.82999943755567,15.470000118017197,44,17
5154,94935707,5,705,39.380000008270144,15.32999999821186,54,29
5154,99108255,-1,177,52.44000004418194,20.129999708384275,38,10
5154,100543041,3,2708,15.08999933861196,9.079999953508377,75,45
5154,104286928,-1,188,24.91000058874488,15.999999850988388,32,9
5154,105308317,3,1734,47.81999915651977,40.63999950326979,78,45
5154,108245035,-1,1039,6.9000001810491085,12.860000031068921,80,42
5154,108645660,-1,368,42.62999963015318,15.800000216811895,41,16
5154,108980646,-1,347,57.890000611543655,25.890000184997916,42,12
5154,109356142,4,517,29.55000041425228,17.329999681562185,48,18
5154,117054599,5,487,11.75000049546361,20.3900004029274,44,16
